Dry bulb temp (C),RH,Pressure
-2,2.1046,98
-2,2.1061,98
-2,2.1076,98
-2,2.1091,98
-2,2.1106,98
-2,2.1121,98
-1,2.1136,98
0,2.1151,98
0,2.1166,98
1,2.1181,98
2,2.1196,98
3,2.1211,98
4,2.1226,97
5,2.1241,97
4,2.1256,97
2,2.1271,97
1,2.1286,97
1,2.1301,97
2,2.1316,97
1,2.1331,97
1,2.1346,97
1,2.1361,97
1,2.1376,97
0,2.1391,97
0,2.1406,97
0,2.1421,97
0,2.1436,97
0,2.1451,97
0,2.1466,97
0,2.1481,97
0,2.1496,97
0,2.1511,97
1,2.1526,97
2,2.1541,97
3,2.1556,96
3,2.1571,96
3,2.1586,96
2,2.1601,96
1,2.1616,96
0,2.1631,96
0,2.1646,96
0,2.1661,96
0,2.1676,96
0,2.1691,96
0,2.1706,96
-1,2.1721,96
-1,2.1736,96
-1,2.1751,96
-1,2.1766,96
-1,2.1781,96
-1,2.1796,96
-1,2.1811,96
-1,2.1826,96
-1,2.1841,96
-1,2.1856,96
0,2.1871,96
0,2.1886,96
0,2.1901,96
0,2.1916,96
0,2.1931,96
0,2.1946,96
0,2.1961,96
0,2.1976,96
-1,2.1991,96
-1,2.2006,96
-2,2.2021,96
-2,2.2036,96
-2,2.2051,96
-2,2.2066,96
-2,2.2081,96
-3,2.2096,96
-3,2.2111,96
-3,2.2126,96
-4,2.2141,97
-4,2.2156,97
-5,2.2171,97
-5,2.2186,97
-5,2.2201,97
-5,2.2216,97
-6,2.2231,97
-6,2.2246,97
-6,2.2261,97
-6,2.2276,97
-7,2.2291,97
-7,2.2306,97
-7,2.2321,97
-8,2.2336,97
-8,2.2351,97
-9,2.2366,97
-10,2.2381,97
-10,2.2396,97
-10,2.2411,97
-10,2.2426,97
-10,2.2441,97
-11,2.2456,97
-11,2.2471,98
-11,2.2486,98
-11,2.2501,98
-11,2.2516,98
-11,2.2531,98
-11,2.2546,98
-11,2.2561,98
-11,2.2576,98
-10,2.2591,98
-10,2.2606,98
-9,2.2621,98
-9,2.2636,98
-9,2.2651,98
-9,2.2666,98
-9,2.2681,98
-9,2.2696,98
-10,2.2711,98
-10,2.2726,99
-11,2.2741,99
-11,2.2756,99
-11,2.2771,99
-12,2.2786,99
-12,2.2801,98
-11,2.2816,98
-11,2.2831,98
-11,2.2846,98
-12,2.2861,98
-13,2.2876,98
-13,2.2891,98
-12,2.2906,98
-12,2.2921,98
-11,2.2936,98
-9,2.2951,98
-7,2.2966,98
-6,2.2981,98
-6,2.2996,98
-6,2.3011,98
-6,2.3026,97
-6,2.3041,97
-6,2.3056,97
-7,2.3071,97
-7,2.3086,97
-8,2.3101,98
-8,2.3116,98
-9,2.3131,98
-10,2.3146,98
-11,2.3161,98
-11,2.3176,98
-12,2.3191,98
-12,2.3206,98
-13,2.3221,98
-14,2.3236,98
-14,2.3251,99
-15,2.3266,99
-16,2.3281,99
-16,2.3296,99
-16,2.3311,99
-15,2.3326,99
-15,2.3341,99
-14,2.3356,99
-14,2.3371,99
-14,2.3386,99
